id (product),id (categories),name of product italian,description of product italian,search words italian,name of product english,description of product english,search words english,name of product french,description of product french,search words french
1,1,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
2,2,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
3,3,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
4,4,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
5,5,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
6,6,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
7,7,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
8,8,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
9,9,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
10,10,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
11,11,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
12,12,Test product italian,test product italian description,search keyword italian,test product english,test description english,search keywords english,test product french,test product description french,search keyword french
