id (product),id (categories),product type,name of product italian,description of product italian,search words italian,main photo italian,name of product english,description of product english,search words english,main photo english,name of product french,description of product french,search words french,main photo french
1,1,1,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
2,2,2,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
3,3,3,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
4,4,1,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
5,5,2,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
6,6,3,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
7,7,1,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
8,8,2,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
9,9,3,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
10,10,1,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
11,11,2,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
12,12,3,Test product italian,test product italian description,search keyword italian,x.pjg,test product english,test description english,search keywords english,y.gif,test product french,test product description french,search keyword french,z.png
